PGN(
  (net): Sequential(
    (0): Linear(in_features=8, out_features=128, bias=True)
    (1): ReLU()
    (2): Linear(in_features=128, out_features=128, bias=True)
    (3): ReLU()
    (4): Linear(in_features=128, out_features=4, bias=True)
  )
)
18187: reward: -183.29, mean_100: -111.09, episodes: 111
18724: reward: -217.25, mean_100: -112.42, episodes: 112
19087: reward:  -5.60, mean_100: -111.32, episodes: 113
19794: reward: -174.05, mean_100: -111.03, episodes: 114
20711: reward:  73.82, mean_100: -107.59, episodes: 115
20921: reward: -123.98, mean_100: -108.23, episodes: 116
21061: reward: -26.77, mean_100: -106.58, episodes: 117
21134: reward: -24.96, mean_100: -103.76, episodes: 118
21202: reward: -43.24, mean_100: -102.99, episodes: 119
21311: reward: -62.00, mean_100: -101.68, episodes: 120
21432: reward: -25.43, mean_100: -101.44, episodes: 121
21559: reward: -47.60, mean_100: -98.79, episodes: 122
21698: reward: -66.72, mean_100: -98.92, episodes: 123
21909: reward: -72.24, mean_100: -99.90, episodes: 124
22003: reward:  22.04, mean_100: -98.23, episodes: 125
22088: reward: -33.84, mean_100: -97.80, episodes: 126
22599: reward: -147.43, mean_100: -98.06, episodes: 127
23600: reward:  -3.04, mean_100: -95.31, episodes: 128
24581: reward: -182.97, mean_100: -93.49, episodes: 129
25582: reward: -70.72, mean_100: -91.34, episodes: 130
26583: reward: -59.74, mean_100: -90.42, episodes: 131
26672: reward: -15.32, mean_100: -89.30, episodes: 132
27139: reward: -202.30, mean_100: -90.41, episodes: 133
27430: reward: -289.20, mean_100: -91.88, episodes: 134
27600: reward: -139.49, mean_100: -91.31, episodes: 135
27686: reward: -277.81, mean_100: -93.05, episodes: 136
27805: reward: -255.33, mean_100: -94.42, episodes: 137
27896: reward: -160.65, mean_100: -94.76, episodes: 138
27976: reward: -173.70, mean_100: -95.51, episodes: 139
28072: reward: -107.63, mean_100: -95.59, episodes: 140
28203: reward: -66.01, mean_100: -95.43, episodes: 141
28318: reward:  -5.32, mean_100: -93.99, episodes: 142
28424: reward: -92.82, mean_100: -93.74, episodes: 143
28515: reward: -347.98, mean_100: -95.94, episodes: 144
28592: reward: -160.32, mean_100: -96.80, episodes: 145
28652: reward: -144.36, mean_100: -96.46, episodes: 146
28723: reward: -182.69, mean_100: -97.22, episodes: 147
28803: reward: -145.62, mean_100: -97.78, episodes: 148
28884: reward: -119.08, mean_100: -97.90, episodes: 149
28969: reward: -125.79, mean_100: -98.29, episodes: 150
29046: reward: -133.45, mean_100: -99.49, episodes: 151
29120: reward: -101.49, mean_100: -99.54, episodes: 152
29179: reward: -106.68, mean_100: -99.44, episodes: 153
29248: reward: -120.80, mean_100: -98.53, episodes: 154
29315: reward: -140.30, mean_100: -97.31, episodes: 155
29370: reward: -100.40, mean_100: -97.43, episodes: 156
29438: reward: -76.35, mean_100: -97.25, episodes: 157
29549: reward: -41.55, mean_100: -97.21, episodes: 158
29620: reward: -90.38, mean_100: -96.96, episodes: 159
29697: reward: -97.13, mean_100: -97.01, episodes: 160
29775: reward: -99.21, mean_100: -97.57, episodes: 161
29846: reward: -42.86, mean_100: -96.96, episodes: 162
29925: reward: -110.14, mean_100: -97.12, episodes: 163
30027: reward:  -8.78, mean_100: -96.35, episodes: 164
30146: reward: -39.86, mean_100: -95.84, episodes: 165
30316: reward:  15.42, mean_100: -93.65, episodes: 166
30670: reward: -79.44, mean_100: -93.64, episodes: 167
30841: reward:   4.67, mean_100: -93.21, episodes: 168
31842: reward: -99.48, mean_100: -93.36, episodes: 169
32843: reward: -66.76, mean_100: -93.31, episodes: 170
33336: reward: -130.56, mean_100: -94.24, episodes: 171
34253: reward: -309.86, mean_100: -96.05, episodes: 172
34762: reward: -134.10, mean_100: -96.85, episodes: 173
35763: reward: -97.00, mean_100: -96.52, episodes: 174
36764: reward: -71.10, mean_100: -96.57, episodes: 175
37765: reward: -101.72, mean_100: -97.30, episodes: 176
38365: reward: -195.19, mean_100: -98.86, episodes: 177
38981: reward: -191.15, mean_100: -100.08, episodes: 178
39136: reward:   7.38, mean_100: -99.29, episodes: 179
39241: reward:   6.24, mean_100: -98.96, episodes: 180
39362: reward: -46.94, mean_100: -99.04, episodes: 181
39476: reward: -41.17, mean_100: -98.68, episodes: 182
39631: reward: -14.99, mean_100: -95.71, episodes: 183
39783: reward: -81.68, mean_100: -95.70, episodes: 184
39967: reward: -108.25, mean_100: -95.84, episodes: 185
40129: reward: -48.94, mean_100: -96.82, episodes: 186
40387: reward: -80.31, mean_100: -94.36, episodes: 187
40697: reward: 189.75, mean_100: -91.92, episodes: 188
41698: reward:  42.17, mean_100: -92.67, episodes: 189
41844: reward: -25.36, mean_100: -92.92, episodes: 190
42845: reward:  42.40, mean_100: -91.51, episodes: 191
43129: reward: -146.99, mean_100: -91.74, episodes: 192
43407: reward: -108.59, mean_100: -92.24, episodes: 193
43652: reward: -11.89, mean_100: -90.78, episodes: 194
43881: reward: -31.21, mean_100: -88.53, episodes: 195
44882: reward:  54.62, mean_100: -85.18, episodes: 196
45883: reward: 119.08, mean_100: -82.80, episodes: 197
46160: reward: -62.10, mean_100: -82.76, episodes: 198
46508: reward: -85.14, mean_100: -84.09, episodes: 199
46715: reward: -112.43, mean_100: -87.07, episodes: 200
46979: reward: -96.33, mean_100: -87.71, episodes: 201
47141: reward: -78.17, mean_100: -88.08, episodes: 202
47353: reward: -60.66, mean_100: -88.32, episodes: 203
48354: reward: 139.80, mean_100: -86.36, episodes: 204
48526: reward: -143.85, mean_100: -87.68, episodes: 205
48904: reward: 203.54, mean_100: -85.07, episodes: 206
49102: reward: -80.73, mean_100: -84.25, episodes: 207
49517: reward: -97.84, mean_100: -83.99, episodes: 208
49946: reward: -100.13, mean_100: -83.81, episodes: 209
50947: reward: 118.52, mean_100: -79.92, episodes: 210
51262: reward:   7.67, mean_100: -78.01, episodes: 211
52051: reward: 197.02, mean_100: -73.87, episodes: 212
52613: reward: -113.33, mean_100: -74.95, episodes: 213
53614: reward: -85.37, mean_100: -74.06, episodes: 214
54178: reward: -151.52, mean_100: -76.31, episodes: 215
54737: reward: 206.17, mean_100: -73.01, episodes: 216
54941: reward: -115.78, mean_100: -73.90, episodes: 217
55296: reward:  -4.99, mean_100: -73.70, episodes: 218
55928: reward: -45.44, mean_100: -73.72, episodes: 219
56493: reward: 185.67, mean_100: -71.25, episodes: 220
56965: reward: -62.03, mean_100: -71.61, episodes: 221
57401: reward: -132.00, mean_100: -72.46, episodes: 222
57606: reward: -146.42, mean_100: -73.26, episodes: 223
57757: reward: -101.95, mean_100: -73.55, episodes: 224
57920: reward:  56.52, mean_100: -73.21, episodes: 225
58070: reward: -93.24, mean_100: -73.80, episodes: 226
58251: reward: -68.39, mean_100: -73.01, episodes: 227
58438: reward: -110.60, mean_100: -74.09, episodes: 228
58584: reward: -88.02, mean_100: -73.14, episodes: 229
59064: reward: 187.80, mean_100: -70.55, episodes: 230
59297: reward: -47.18, mean_100: -70.43, episodes: 231
59889: reward: -165.83, mean_100: -71.93, episodes: 232
60362: reward: -176.52, mean_100: -71.67, episodes: 233
60716: reward: -157.42, mean_100: -70.36, episodes: 234
61717: reward: -108.38, mean_100: -70.04, episodes: 235
62718: reward: -57.13, mean_100: -67.84, episodes: 236
63544: reward:  85.06, mean_100: -64.43, episodes: 237
63985: reward: -153.77, mean_100: -64.37, episodes: 238
64986: reward: -26.06, mean_100: -62.89, episodes: 239
65640: reward: 104.34, mean_100: -60.77, episodes: 240
66180: reward: -82.35, mean_100: -60.93, episodes: 241
66369: reward: -45.45, mean_100: -61.33, episodes: 242
66600: reward: -53.78, mean_100: -60.94, episodes: 243
66839: reward: -108.51, mean_100: -58.55, episodes: 244
67002: reward: -78.13, mean_100: -57.73, episodes: 245
